engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch
pft2,repository HEAD,128,1,1,small-creates,2,32,4096,424560,437232,753664,824,184.000000,552.000000,23552.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,small-creates,2,32,4096,-1,-1,3735552,1001,912.000000,2736.000000,116736.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,small-creates,3,32,4096,424560,437232,753664,873,184.000000,552.000000,23552.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,small-creates,3,32,4096,-1,-1,3735552,832,912.000000,2736.000000,116736.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,rename,1,32,0,182063,189147,520192,710,,,16256.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,rename,1,32,0,-1,-1,2097152,786,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,rename,2,32,0,182063,189147,520192,744,,,16256.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,rename,2,32,0,-1,-1,2097152,699,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,rename,3,32,0,182063,189147,520192,729,,,16256.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,rename,3,32,0,-1,-1,2097152,782,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,chmod,1,32,0,177824,183456,491520,671,,,15360.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,chmod,1,32,0,-1,-1,2097152,763,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,chmod,2,32,0,177826,183458,491520,694,,,15360.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,chmod,2,32,0,-1,-1,2097152,886,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,chmod,3,32,0,177825,183457,491520,655,,,15360.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,chmod,3,32,0,-1,-1,2097152,917,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mkdir,1,32,0,287984,296432,610304,822,,,19072.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mkdir,1,32,0,-1,-1,2097152,870,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mkdir,2,32,0,287984,296432,610304,825,,,19072.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mkdir,2,32,0,-1,-1,2097152,831,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mkdir,3,32,0,287984,296432,610304,892,,,19072.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mkdir,3,32,0,-1,-1,2097152,919,,,65536.000,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mixed,1,100,288000,960460,990424,2375680,2257,8.248889,24.746667,23756.800,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mixed,1,100,288000,-1,-1,11599872,2510,40.277333,120.832000,115998.720,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mixed,2,100,288000,960922,990886,2387968,2405,8.291556,24.874667,23879.680,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mixed,2,100,288000,-1,-1,11550720,2906,40.106667,120.320000,115507.200,go1.26.5,darwin,arm64
pft2,repository HEAD,128,1,1,mixed,3,100,288000,960433,990397,2338816,2457,8.120889,24.362667,23388.160,go1.26.5,darwin,arm64
bbolt,v1.5.0,128,1,1,mixed,3,100,288000,-1,-1,11567104,2857,40.163556,120.490667,115671.040,go1.26.5,darwin,arm64
pft2,repository HEAD,4096,2,2,random-4k,1,32,131072,2058327,2069591,2400256,957,18.312500,54.937500,75008.000,go1.26.5,darwin,arm64
bbolt,v1.5.0,4096,2,2,random-4k,1,32,131072,-1,-1,4538368,847,34.625000,103.875000,141824.000,go1.26.5,darwin,arm64
pft2,repository HEAD,4096,2,2,random-4k,2,32,131072,2120004,2131268,2506752,1148,19.125000,57.375000,78336.000,go1.26.5,darwin,arm64
